episode,patient_type,risk_label,action,patient_replied,reward
0,early_dropout,Low,morning_reminder,False,-0.5
1,early_dropout,Low,evening_reminder,True,1.0
2,erratic,High,evening_reminder,True,1.0
3,adherent,Low,evening_reminder,False,-0.5
4,adherent,Low,motivational_message,True,1.0
5,early_dropout,High,motivational_message,False,-0.5
6,early_dropout,Low,evening_reminder,True,1.0
7,adherent,Low,evening_reminder,True,1.0
8,early_dropout,Low,evening_reminder,False,-0.5
9,adherent,Low,evening_reminder,True,1.0
10,adherent,Low,evening_reminder,True,1.0
11,adherent,Low,evening_reminder,True,1.0
12,early_dropout,Low,evening_reminder,True,1.0
13,early_dropout,Low,evening_reminder,True,1.0
14,adherent,Low,evening_reminder,True,1.0
15,recoverer,Low,evening_reminder,True,1.0
16,erratic,Medium,evening_reminder,True,1.0
17,adherent,Low,evening_reminder,True,1.0
18,erratic,Low,evening_reminder,True,1.0
19,erratic,Low,evening_reminder,False,-0.5
20,recoverer,Medium,evening_reminder,True,1.0
21,early_dropout,Medium,evening_reminder,False,-0.5
22,adherent,Low,evening_reminder,True,1.0
23,early_dropout,Low,evening_reminder,False,-0.5
24,adherent,Low,evening_reminder,True,1.0
25,early_dropout,Low,evening_reminder,False,-0.5
26,adherent,Low,evening_reminder,True,1.0
27,adherent,Low,evening_reminder,True,1.0
28,early_dropout,High,evening_reminder,True,1.0
29,early_dropout,Low,evening_reminder,True,1.0
30,adherent,Low,evening_reminder,True,1.0
31,erratic,Low,evening_reminder,False,-0.5
32,erratic,Low,evening_reminder,False,-0.5
33,recoverer,Low,evening_reminder,True,1.0
34,adherent,Low,evening_reminder,True,1.0
35,adherent,Low,evening_reminder,True,1.0
36,adherent,Low,evening_reminder,True,1.0
37,adherent,Low,evening_reminder,False,-0.5
38,early_dropout,Low,evening_reminder,False,-0.5
39,erratic,Low,evening_reminder,True,1.0
40,erratic,Low,evening_reminder,False,-0.5
41,recoverer,Low,evening_reminder,False,-0.5
42,recoverer,Low,evening_reminder,False,-0.5
43,erratic,Low,evening_reminder,True,1.0
44,adherent,Low,evening_reminder,True,1.0
45,erratic,Medium,evening_reminder,False,-0.5
46,early_dropout,Low,evening_reminder,False,-0.5
47,early_dropout,High,evening_reminder,True,1.0
48,adherent,Low,evening_reminder,True,1.0
49,adherent,Low,evening_reminder,True,1.0
50,erratic,Low,evening_reminder,True,1.0
51,adherent,Low,evening_reminder,True,1.0
52,early_dropout,High,evening_reminder,True,1.0
53,erratic,Low,evening_reminder,True,1.0
54,adherent,Low,evening_reminder,True,1.0
55,adherent,Low,evening_reminder,True,1.0
56,recoverer,Low,evening_reminder,True,1.0
